"Plot","yr","Tratamiento","lrr_riq","lrr_cov","IE.annual","densidad","densidad_z","ie_anual_z"
"5",2023,"Partial",0,0.707745979981098,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"5",2024,"Exclosure",-0.405465108108164,0.679541528504167,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"5",2024,"Partial",-0.22314355131421,0.516216472400867,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"6",2017,"Exclosure",0.0800427076735364,0.0645385211375712,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"6",2017,"Partial",-0.0870113769896298,-0.117783035656384,0.388131361593418,52.39,0.202061138971829,0.271460877444459
"6",2018,"Exclosure",0.167054084663166,0.18805223150294,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"6",2018,"Partial",-0.0953101798043249,-0.148420005118273,0.347512707920366,56.909,0.995383716742198,0.703941794649428
"6",2019,"Exclosure",0,0.860201265223112,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"6",2019,"Partial",-0.0870113769896298,0.332133835022615,0.44793278418064,53.663,0.425539705358569,-0.365265644780038
"6",2021,"Exclosure",0,0.997358554962937,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"6",2021,"Partial",0.0870113769896297,0.320471895274772,0.53254675693918,41.647,-1.68390134232648,-1.26618000894193
"6",2022,"Exclosure",-0.105360515657826,0.663294217410264,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"6",2022,"Partial",0.0953101798043249,-0.0400053346136991,0.553068101469167,45.268,-1.04822507454456,-1.48467789358491
"6",2023,"Exclosure",-1.09861228866811,0.174941449496332,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"6",2023,"Partial",-0.251314428280906,-0.348306694268216,0.335639398965508,50.07,-0.205221087278946,0.830361040062815
"6",2024,"Exclosure",-0.441832752279039,0.370373788296894,0.290557861155377,58.726,1.3143629430774,1.31035983515018
"6",2024,"Partial",-0.154150679827258,0,0.290557861155377,58.726,1.3143629430774,1.31035983515018
